"Rate of COVID-19 Cases per 100,000 by Race and Ethnicity and Week of First Positive Test Date",,,,,,,,,
Source: Rhode Island Department of Health (RIDOH) SalesForce COVID-19 Case Dataset; US Census Bureau 2018 American Community Survey 5-year estimates (total population and by race/ethnicity).,,,,,,,,,
Last updated:,3/3/2021,,,,,,,,
,,,,,,,,,
"NOTES: Congregate setting residents are included. Out-of-state residents are excluded. † Hispanic or Latino includes people who identify as any race. * All other racial and ethnic groups include people who identify as non-Hispanic ethnicity or have unknown ethnicity. 
Data reflect number of people who tested positive (rather than number of test results). Rates based on small numbers (<5) are shown as *, in line with RIDOH's Small Numbers Policy. We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as cyclical testing. Please use caution when interpreting these data. Risk is associated with the characteristics of settings and behaviors of people, not necessarily with race and ethnicity.",,,,,,,,,
,,,,,,,,,
Week of Result Date,Hispanic or Latino†,American Indian or Alaska Native*,Asian*,Black or African American*,Native Hawaiian or Other Pacific Islander,White*,Other race*,Multiple race*,Total
Pop. Estimate 2018,158858,3708,35128,59001,684,767727,7090,24415,1056611
3/1/20-3/7/20,0,0,0,0,0,*,*,0,*
3/8/20-3/14/20,0,0,*,0,0,1,*,0,1
3/15/20-3/21/20,4,0,*,*,0,4,0,0,6
3/22/20-3/28/20,17,*,*,29,0,11,*,0,20
3/29/20-4/4/20,55,*,*,93,0,33,85,*,59
4/5/20-4/11/20,316,216,77,281,0,100,169,20,173
4/12/20-4/18/20,469,297,65,359,0,80,169,45,183
4/19/20-4/25/20,599,243,63,469,0,94,296,57,239
4/26/20-5/2/20,473,162,120,390,0,63,268,29,189
5/3/20-5/9/20,441,216,74,344,0,74,324,*,175
5/10/20-5/16/20,391,*,105,275,0,53,367,20,138
5/17/20-5/23/20,311,*,74,203,0,39,310,20,103
5/24/20-5/30/20,262,*,37,166,0,25,141,25,79
5/31/20-6/6/20,206,0,23,122,0,16,*,*,58
6/7/20-6/13/20,122,*,37,81,0,18,113,*,43
6/14/20-6/20/20,99,*,*,56,0,14,71,0,34
6/21/20-6/27/20,89,*,*,76,0,16,*,25,34
6/28/20-7/4/20,69,*,31,46,0,13,*,20,26
7/5/20-7/11/20,75,*,26,51,0,20,85,*,32
7/12/20-7/18/20,88,*,14,103,0,22,113,45,41
7/19/20-7/25/20,151,*,37,151,0,27,324,53,61
7/26/20-8/1/20,195,*,57,125,0,26,197,37,65
8/2/20-8/8/20,204,*,43,139,0,26,85,33,66
8/9/20-8/15/20,191,0,20,64,0,25,127,29,58
8/16/20-8/22/20,189,*,31,76,0,30,127,49,63
8/23/20-8/29/20,146,*,26,58,0,23,99,41,51
8/30/20-9/5/20,132,*,48,88,0,19,99,*,46
9/6/20-9/12/20,108,0,14,107,0,29,141,*,51
9/13/20-9/19/20,145,*,26,75,0,46,226,29,68
9/20/20-9/26/20,141,*,23,117,0,42,183,45,67
9/27/20-10/3/20,174,0,20,154,0,60,353,57,91
10/4/20-10/10/20,222,189,26,175,0,80,268,49,116
10/11/20-10/17/20,295,135,37,166,0,91,381,45,145
10/18/20-10/24/20,478,*,105,266,0,137,790,78,233
10/25/20-10/31/20,534,*,128,288,0,159,748,74,270
11/1/20-11/7/20,644,162,222,380,0,223,1269,102,353
11/8/20-11/14/20,959,162,248,588,0,358,1410,229,525
11/15/20-11/21/20,1024,351,359,608,0,423,1735,213,611
11/22/20-11/28/20,865,324,253,490,0,381,1749,197,556
11/29/20-12/5/20,1328,351,475,776,0,584,2482,319,827
12/6/20-12/12/20,1160,431,464,795,0,550,2341,324,764
12/13/20-12/19/20,840,270,356,525,0,437,1551,266,572
12/20/20-12/26/20,573,324,356,369,0,366,1848,238,465
12/27/20-1/2/21,789,*,473,459,0,524,1805,315,639
1/3/21-1/9/21,1002,647,521,658,0,567,2525,344,723
1/10/21-1/16/21,772,405,421,608,0,422,2073,319,545
1/17/21-1/23/21,562,458,239,453,0,388,1537,291,467
1/24/21-1/30/21,452,458,182,419,0,301,889,254,375
1/31/21-2/6/21,343,270,239,283,0,226,917,139,286
2/7/21-2/13/21,313,431,168,215,0,172,649,135,228
2/14/21-2/20/21,266,216,142,190,0,148,705,102,199
2/21/21-2/27/21,247,512,128,171,0,147,564,131,215
