Number of COVID-19 Cases by Municipality of Residence and Week of First Positive Test Date Excluding Congregate Setting Residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Rhode Island Department of Health (RIDOH) SalesForce COVID-19 Case Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Data reflect number of people who tested positive (rather than number of test results). Small numbers are shown as <5 in line with RIDOH's Small Numbers Policy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated:,3/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as cyclical testing or people’s movement across municipalities. Please use caution when interpreting these data. Risk is associated with the characteristics of settings and behaviors of people, not necessarily with a geographic location.
 
Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are intentionally excluded from these data. Because congregate care settings are not distributed equally across the state, and because spread within a congregate care setting does not correlate to spread within the community in which it resides, these cases have been excluded from this analysis in order to provide a more accurate picture of the general COVID-19 incidence within a municipality. In any scenario in which it is unclear whether a case is a congregate care resident or staff, that case is included in this analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week of Result Date,BARRINGTON,BRISTOL,BURRILLVILLE,CENTRAL FALLS,CHARLESTOWN,COVENTRY,CRANSTON,CUMBERLAND,EAST GREENWICH,EAST PROVIDENCE,EXETER,FOSTER,GLOCESTER,HOPKINTON,JAMESTOWN,JOHNSTON,LINCOLN,LITTLE COMPTON,MIDDLETOWN,NARRAGANSETT,NEW SHOREHAM,NEWPORT,NORTH KINGSTOWN,NORTH PROVIDENCE,NORTH SMITHFIELD,PAWTUCKET,PORTSMOUTH,PROVIDENCE,RICHMOND,SCITUATE,SMITHFIELD,SOUTH KINGSTOWN,TIVERTON,WARREN,WARWICK,WEST GREENWICH,WEST WARWICK,WESTERLY,WOONSOCKET,UNKNOWN,TOTAL
3/1/20-3/7/20,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5
3/8/20-3/14/20,<5,0,<5,0,0,0,<5,0,0,<5,0,0,0,0,0,0,<5,0,<5,<5,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,<5,0,0,14
3/15/20-3/21/20,<5,<5,0,<5,0,<5,<5,<5,0,<5,0,<5,0,0,<5,<5,0,<5,<5,0,0,<5,0,0,<5,<5,<5,25,0,<5,0,<5,0,<5,<5,0,0,<5,0,<5,66
3/22/20-3/28/20,5,<5,5,<5,<5,<5,27,6,0,8,<5,0,0,<5,0,<5,<5,0,0,<5,0,<5,7,5,<5,16,<5,46,0,5,<5,<5,6,0,14,0,6,<5,<5,<5,199
3/29/20-4/4/20,<5,6,6,10,<5,12,40,16,5,14,<5,0,<5,<5,<5,11,9,<5,<5,<5,<5,6,8,26,<5,55,7,112,0,<5,8,8,5,<5,29,<5,15,9,11,24,480
4/5/20-4/11/20,6,10,14,47,<5,23,108,41,12,59,<5,5,<5,<5,<5,38,19,<5,6,13,0,8,21,57,5,142,<5,524,<5,6,16,19,14,<5,63,<5,21,8,37,70,"1,437"
4/12/20-4/18/20,<5,11,9,111,<5,17,136,28,5,51,<5,<5,6,<5,<5,39,20,<5,<5,<5,0,0,7,81,<5,206,<5,625,<5,6,7,9,9,<5,62,<5,31,6,49,40,"1,609"
4/19/20-4/25/20,6,12,10,168,<5,16,122,34,12,49,5,<5,6,5,<5,43,23,0,6,10,0,9,17,78,6,258,5,811,5,7,16,8,12,14,59,<5,34,14,49,55,"1,992"
4/26/20-5/2/20,<5,8,10,133,5,12,110,20,10,42,<5,<5,<5,0,0,26,19,0,<5,<5,0,8,5,57,<5,200,<5,698,5,<5,11,<5,7,<5,57,<5,24,7,54,80,"1,642"
5/3/20-5/9/20,<5,10,<5,126,<5,12,82,21,7,51,6,<5,<5,<5,<5,33,20,<5,<5,<5,0,8,8,44,<5,193,<5,542,<5,<5,11,<5,5,<5,45,0,28,<5,57,32,"1,382"
5/10/20-5/16/20,7,6,<5,92,0,13,76,11,6,36,<5,<5,9,<5,0,23,13,0,0,<5,0,<5,5,47,9,119,<5,481,<5,5,12,<5,7,14,35,<5,12,0,43,15,"1,118"
5/17/20-5/23/20,7,10,9,64,0,17,73,11,<5,17,<5,<5,<5,<5,<5,19,11,<5,<5,<5,0,<5,5,26,6,111,7,408,<5,<5,6,<5,9,5,35,<5,12,<5,37,18,957
5/24/20-5/30/20,<5,7,<5,30,<5,10,49,5,0,20,0,<5,<5,0,<5,34,9,0,5,<5,0,9,6,16,<5,73,6,334,<5,<5,0,0,<5,0,20,<5,9,<5,38,12,721
5/31/20-6/6/20,<5,<5,<5,29,0,<5,36,11,<5,12,<5,0,<5,0,<5,12,<5,0,<5,<5,0,<5,<5,19,<5,51,5,258,0,<5,<5,0,<5,<5,19,0,9,0,25,<5,527
6/7/20-6/13/20,<5,<5,<5,23,<5,<5,32,9,<5,12,<5,0,<5,0,0,15,5,0,<5,0,0,<5,<5,9,6,41,0,158,0,<5,<5,<5,<5,<5,9,0,<5,0,19,<5,376
6/14/20-6/20/20,0,<5,<5,21,<5,0,18,<5,<5,8,0,0,0,0,<5,6,5,0,<5,<5,0,7,<5,<5,<5,26,0,130,<5,<5,<5,0,0,<5,11,0,10,<5,16,5,292
6/21/20-6/27/20,<5,<5,<5,12,<5,<5,15,9,<5,7,0,<5,<5,<5,0,9,6,0,6,0,0,12,<5,12,<5,40,<5,119,0,<5,<5,<5,<5,<5,10,<5,9,<5,16,8,326
6/28/20-7/4/20,<5,<5,<5,7,<5,9,36,<5,<5,6,0,<5,<5,<5,<5,9,<5,<5,5,0,0,9,<5,10,<5,13,<5,83,0,<5,5,<5,<5,<5,10,0,8,5,7,<5,259
7/5/20-7/11/20,<5,7,<5,15,<5,9,25,<5,7,7,0,0,<5,<5,<5,6,6,0,8,<5,<5,11,0,16,5,28,<5,102,0,<5,5,<5,<5,<5,17,<5,13,<5,12,<5,335
7/12/20-7/18/20,<5,8,<5,21,<5,<5,33,11,<5,15,0,<5,0,0,0,11,5,<5,<5,<5,0,<5,<5,14,<5,59,<5,122,0,<5,13,<5,<5,<5,20,0,9,<5,16,14,415
7/19/20-7/25/20,0,8,<5,34,<5,11,44,10,6,20,<5,0,<5,<5,<5,19,<5,0,<5,<5,<5,8,5,34,7,93,<5,168,0,<5,9,<5,<5,9,34,<5,10,<5,17,28,610
7/26/20-8/1/20,<5,5,7,37,<5,7,76,10,7,14,<5,<5,<5,<5,<5,12,12,0,6,0,<5,7,5,33,<5,105,0,191,<5,<5,<5,<5,<5,<5,36,<5,21,<5,20,26,669
8/2/20-8/8/20,<5,5,<5,38,0,8,88,11,<5,19,<5,<5,<5,<5,0,17,14,0,<5,<5,<5,5,7,27,<5,83,<5,222,<5,5,7,<5,0,0,30,0,12,5,21,<5,652
8/9/20-8/15/20,<5,5,<5,34,<5,6,34,14,5,13,<5,<5,<5,0,<5,11,5,0,0,17,<5,5,11,20,0,56,<5,220,<5,<5,11,17,<5,0,20,<5,15,0,21,<5,568
