Date,Daily number of positive tests (may count people more than once),3-day average of daily number of positive tests (may count people more than once),Cumulative positive tests (may count people more than once),Daily number of negative tests (may count people more than once),Cumulative negative tests (may count people more than once),Daily total tests completed (may count people more than once),Cumulative total tests completed (may count people more than once),New people who tested positive (counts first positive lab per person),3-day average of new people who tested positive (counts first positive lab per person),Cumulative people who tested positive (counts first positive lab per person),New people who have only tested negative (counts first negative lab per person),Cumulative people who have only tested negative (counts first negative lab per person),Cumulative people tested (one count per person),New hospital admissions,Cumulative hospital admissions,New hospital discharges,Cumulative hospital discharges,Hospital deaths,Cumulative hospital deaths,Currently hospitalized,3-day average of currently hospitalized,Currently in ICU,Currently vented,Date of death,Total deaths,Daily number of first vaccine doses administered (includes single-dose vaccines),Daily number of second vaccine doses administered (only applicable for two-dose vaccines),Daily total number of vaccine doses administered,Cumulative total number of vaccine doses administered,Daily number of people at least partially vaccinated,Cumulative total number of people at least partially vaccinated,Daily number of people fully vaccinated,Cumulative total number of people fully vaccinated
2/27/2020,0,--,0,0,0,0,0,0,--,0,0,0,0,1,1,0,0,0,0,1,--,0,0,0,0,-,-,--,--,--,--,--,--
2/28/2020,0,--,0,0,0,0,0,0,--,0,0,0,0,0,1,0,0,0,0,1,--,1,0,0,0,-,-,--,--,--,--,--,--
2/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,-,-,--,--,--,--,--,--
3/1/2020,2,1,2,2,2,4,4,2,1,2,2,2,4,0,1,0,0,0,0,1,1,1,1,0,0,-,-,--,--,--,--,--,--
3/2/2020,0,1,2,1,3,1,5,0,1,2,0,2,4,1,2,0,0,0,0,2,1,2,2,0,0,-,-,--,--,--,--,--,--
3/3/2020,0,1,2,2,5,2,7,0,1,2,1,3,5,0,2,0,0,0,0,2,2,2,2,0,0,-,-,--,--,--,--,--,--
3/4/2020,0,0,2,12,17,12,19,0,0,2,10,13,15,1,3,0,0,0,0,3,2,2,2,0,0,-,-,--,--,--,--,--,--
3/5/2020,0,0,2,4,21,4,23,1,0,3,4,17,20,0,3,0,0,0,0,3,3,2,2,0,0,-,-,--,--,--,--,--,--
3/6/2020,1,0,3,12,33,13,36,0,0,3,11,28,31,0,3,0,0,0,0,3,3,2,2,0,0,-,-,--,--,--,--,--,--
3/7/2020,0,0,3,19,52,19,55,0,0,3,19,47,50,0,3,0,0,0,0,3,3,2,1,0,0,-,-,--,--,--,--,--,--
3/8/2020,0,0,3,18,70,18,73,0,0,3,18,65,68,0,3,0,0,0,0,3,3,2,1,0,0,-,-,--,--,--,--,--,--
3/9/2020,1,0,4,15,85,16,89,1,0,4,14,79,83,0,3,0,0,0,0,3,3,2,1,0,0,-,-,--,--,--,--,--,--
3/10/2020,2,1,6,25,110,27,116,1,1,5,21,100,105,0,3,0,0,0,0,3,3,2,1,0,0,-,-,--,--,--,--,--,--
3/11/2020,0,1,6,34,144,34,150,0,1,5,32,132,137,1,4,0,0,0,0,4,3,1,1,0,0,-,-,--,--,--,--,--,--
3/12/2020,9,4,15,41,185,50,200,7,3,12,38,170,182,1,5,0,0,0,0,5,4,1,1,0,0,-,-,--,--,--,--,--,--
3/13/2020,6,5,21,50,235,56,256,6,4,18,43,213,231,4,9,1,1,0,0,8,6,1,1,0,0,-,-,--,--,--,--,--,--
3/14/2020,0,5,21,90,325,90,346,0,4,18,77,290,308,0,9,0,1,0,0,8,7,1,1,0,0,-,-,--,--,--,--,--,--
3/15/2020,1,2,22,54,379,55,401,1,2,19,52,342,361,1,10,0,1,0,0,9,8,2,1,0,0,-,-,--,--,--,--,--,--
3/16/2020,2,1,24,95,474,97,498,2,1,21,85,427,448,2,12,0,1,0,0,11,9,2,0,0,0,-,-,--,--,--,--,--,--
3/17/2020,12,5,36,162,636,174,672,11,5,32,134,561,593,6,18,0,1,0,0,17,12,2,0,0,0,-,-,--,--,--,--,--,--
3/18/2020,9,8,45,116,752,125,797,11,8,43,97,658,701,3,21,0,1,0,0,20,16,2,0,0,0,-,-,--,--,--,--,--,--
3/19/2020,15,12,60,262,1014,277,1074,17,13,60,232,890,950,2,23,1,2,0,0,21,19,3,0,1,1,-,-,--,--,--,--,--,--
3/20/2020,13,12,73,197,1211,210,1284,13,14,73,177,1067,1140,5,28,0,2,0,0,26,22,4,0,0,1,-,-,--,--,--,--,--,--
3/21/2020,12,13,85,126,1337,138,1422,14,15,87,106,1173,1260,3,31,2,4,0,0,27,25,5,0,0,1,-,-,--,--,--,--,--,--
3/22/2020,27,17,112,282,1619,309,1731,25,17,112,242,1415,1527,2,33,0,4,0,0,29,27,5,0,0,1,-,-,--,--,--,--,--,--
3/23/2020,14,18,126,169,1788,183,1914,16,18,128,153,1568,1696,15,48,1,5,0,0,43,33,9,3,0,1,-,-,--,--,--,--,--,--
3/24/2020,20,20,146,242,2030,262,2176,19,20,147,206,1774,1921,8,56,0,5,0,0,51,41,10,5,0,1,-,-,--,--,--,--,--,--
3/25/2020,26,20,172,182,2212,208,2384,28,21,175,151,1925,2100,4,60,1,6,0,0,54,49,11,4,0,1,-,-,--,--,--,--,--,--
3/26/2020,35,27,207,181,2393,216,2600,41,29,216,152,2077,2293,9,69,5,11,0,0,58,54,14,5,0,1,-,-,--,--,--,--,--,--
3/27/2020,27,29,234,214,2607,241,2841,31,33,247,175,2252,2499,9,78,1,12,1,1,65,59,16,6,2,3,-,-,--,--,--,--,--,--
3/28/2020,59,40,293,260,2867,319,3160,64,45,311,218,2470,2781,11,89,2,14,1,2,73,65,15,6,1,4,-,-,--,--,--,--,--,--
3/29/2020,100,62,393,350,3217,450,3610,105,67,416,275,2745,3161,8,97,3,17,1,3,77,72,18,8,2,6,-,-,--,--,--,--,--,--
3/30/2020,62,74,455,222,3439,284,3894,78,82,494,162,2907,3401,19,116,5,22,0,3,91,80,19,11,3,9,-,-,--,--,--,--,--,--
3/31/2020,71,78,526,369,3808,440,4334,73,85,567,266,3173,3740,11,127,7,29,1,4,94,87,21,13,2,11,-,-,--,--,--,--,--,--
4/1/2020,99,77,625,698,4506,797,5131,100,84,667,543,3716,4383,18,145,7,36,0,4,105,97,29,15,1,12,-,-,--,--,--,--,--,--
