County,Average Unemployment Rate 2019-2020 (%)
Barrington,2.4
Bristol,3.2
Burrillville,3.3
Central Falls,4.5
Charlestown,3.9
Coventry,3.3
Cranston,3.5
Cumberland,3.1
East Greenwich,3
East Providence,3.8
Exeter,2.9
Foster,3.7
Glocester,2.7
Hopkinton,3.3
Jamestown,2.3
Johnston,3.8
Lincoln,3.2
Little Compton,2.9
Middletown,3.1
Narragansett,2.3
New Shoreham,8.1
Newport,2.9
North Kingstown,2.9
North Providence,3.5
North Smithfield,2.9
Pawtucket,4.2
Portsmouth,3.2
Providence,4.4
Richmond,2.4
Scituate,3.1
Smithfield,3.1
South Kingstown,3.1
Tiverton,3.7
Warren,3.5
Warwick,3
West Greenwich,3.1
West Warwick,3.7
Westerly,3.7
Woonsocket,4.6
